speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
grefla3,Greater Flamingo,Phoenicopterus roseus,L2785357,Parque Urbano da Póvoa de Santa Iria,2020-10-15 07:15,14,38.8589384,-9.0590322,TRUE,FALSE,FALSE,S74836713
grefla3,Greater Flamingo,Phoenicopterus roseus,L1104921,Estuário do Mondego--Ilha da Murraceira,2020-10-14 18:30,200,40.1322973,-8.8281155,TRUE,FALSE,FALSE,S74827709
grefla3,Greater Flamingo,Phoenicopterus roseus,L964943,PN Ria Formosa--Ludo--esteiros do Ancão e da Maria Nova (percurso sul),2020-10-14 16:00,224,37.0181794,-7.999506,TRUE,FALSE,FALSE,S74822154
grefla3,Greater Flamingo,Phoenicopterus roseus,L1368090,Arrozal da Nossa Senhora do Rosário,2020-10-14 14:26,1,37.168799,-8.4856715,TRUE,FALSE,FALSE,S74809729
grefla3,Greater Flamingo,Phoenicopterus roseus,L1459558,Salinas do Forte do Rato,2020-10-14 12:05,5,37.1251003,-7.6215544,TRUE,FALSE,FALSE,S74828498
grefla3,Greater Flamingo,Phoenicopterus roseus,L5748946,Bom Retiro,2020-10-14 09:38,150,37.1487513,-8.5214686,TRUE,TRUE,FALSE,S74800841
grefla3,Greater Flamingo,Phoenicopterus roseus,L12492800,"The Ria Formosa Natural Park, Tavira PT-Faro 37.13704, -7.61838",2020-10-14 09:38,40,37.13704,-7.618385,TRUE,FALSE,TRUE,S74799192
grefla3,Greater Flamingo,Phoenicopterus roseus,L1764210,Parque do Tejo,2020-10-14 08:00,NA,38.7833131,-9.0920265,TRUE,FALSE,FALSE,S74814577
grefla3,Greater Flamingo,Phoenicopterus roseus,L2065182,Montenegro,2020-10-13 18:25,40,37.0309251,-7.9585218,TRUE,FALSE,FALSE,S74774400
grefla3,Greater Flamingo,Phoenicopterus roseus,L1099654,Quinta do Ludo--área geral,2020-10-13 16:00,NA,37.025529,-7.997092,TRUE,FALSE,FALSE,S74789778
grefla3,Greater Flamingo,Phoenicopterus roseus,L963093,Parque Ambiental de Vilamoura,2020-10-13 15:50,2,37.0893497,-8.1423175,TRUE,FALSE,FALSE,S74826985
grefla3,Greater Flamingo,Phoenicopterus roseus,L978778,Foz do Rio Trancão,2020-10-13 13:20,31,38.7962394,-9.0906286,TRUE,FALSE,FALSE,S74774326
grefla3,Greater Flamingo,Phoenicopterus roseus,L12489412,Esteiro da Ilha da Lebre,2020-10-13 12:30,7,37.0175312,-7.8577518,TRUE,FALSE,TRUE,S74781001
grefla3,Greater Flamingo,Phoenicopterus roseus,L10458384,RN Estuário do Sado--salinas das Praias do Sado,2020-10-13 12:01,1,38.5144265,-8.8195884,TRUE,FALSE,FALSE,S74786218
