speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
comkin1,Common Kingfisher,Alcedo atthis,L3219873,Paljuvi Reservoir,2020-10-13 13:35,1,44.4280798,20.1435184,TRUE,FALSE,FALSE,S74778285
comkin1,Common Kingfisher,Alcedo atthis,L2481937,"Beljarica, centralni forland (Jagodina-Petica i Balaton-Beljarica)--IBA Ušće Save u Dunav",2020-10-12 09:15,1,44.9079277,20.375003800000002,TRUE,FALSE,FALSE,S74727666
comkin1,Common Kingfisher,Alcedo atthis,L2897272,Smederevo--Dunavski Kej,2020-10-11 16:45,1,44.6655792,20.9175315,TRUE,FALSE,FALSE,S74689362
comkin1,Common Kingfisher,Alcedo atthis,L10260772,"Bara Gajićka, Stara Pazova",2020-10-11 16:20,1,44.9724118,20.1618955,TRUE,FALSE,FALSE,S74695809
comkin1,Common Kingfisher,Alcedo atthis,L6198295,Belo jezero (Lukino Selo),2020-10-10 10:08,1,45.2932823,20.4283671,TRUE,FALSE,FALSE,S74647989
comkin1,Common Kingfisher,Alcedo atthis,L2832004,"Ribnjak Veliki Alas, Čenta",2020-10-09 10:22,1,45.1203839,20.3952599,TRUE,FALSE,FALSE,S74601764
comkin1,Common Kingfisher,Alcedo atthis,L3672113,"Šodroš, Novi Sad",2020-10-09 07:20,1,45.2299314,19.8204947,TRUE,FALSE,FALSE,S74590325
comkin1,Common Kingfisher,Alcedo atthis,L12454599,"Jadranska, Niš, RS (43.324, 21.897)",2020-10-08 15:30,1,43.3236347,21.8968936,TRUE,FALSE,TRUE,S74582961
comkin1,Common Kingfisher,Alcedo atthis,L1146129,"Savski nasip--blokovi (45,44,70,70a), Novi Beograd",2020-10-07 11:40,1,44.7956566,20.392921,TRUE,FALSE,FALSE,S74526519
comkin1,Common Kingfisher,Alcedo atthis,L2205525,Ada Ciganlija--eastern side,2020-10-06 17:15,1,44.7926005,20.4176939,TRUE,FALSE,FALSE,S74521102
comkin1,Common Kingfisher,Alcedo atthis,L3889357,Ada Ciganlija--marina Čukarički rukavac,2020-10-06 16:40,2,44.7906432,20.4224896,TRUE,FALSE,FALSE,S74520917
comkin1,Common Kingfisher,Alcedo atthis,L2886356,Reva--Reva Lake (IBA područje Ušće Save u Dunav),2020-10-06 10:15,1,44.8474959,20.5332885,TRUE,FALSE,FALSE,S74495032
comkin1,Common Kingfisher,Alcedo atthis,L3630515,"Tamiški nasip, Pančevo--naspram Stare deponije",2020-10-04 12:35,1,44.8784375,20.6162739,TRUE,FALSE,FALSE,S74398634
comkin1,Common Kingfisher,Alcedo atthis,L4607745,Reva--istočni kubici duž Ovčanske ade (IBA područje Ušće Save u Dunav),2020-10-04 10:24,1,44.8476538,20.5484598,TRUE,FALSE,FALSE,S74395287
comkin1,Common Kingfisher,Alcedo atthis,L12416345,"Е75, Ниш, RS (43,298, 21,799)",2020-10-03 09:27,2,43.2977175,21.7991835,TRUE,FALSE,TRUE,S74362240
