occurrenceID,verbatimScientificName,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,eventDate,day,month,year,collectionCode,catalogNumber,license,rightsHolder,recordedBy,issue
URN:catalog:CLO:EBIRD:OBS865482116,Phoenicopterus roseus,PT,Lagoa dos Salgados,Faro,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.0947,-8.33137,2019-10-24T00:00:00Z,24,10,2019,EBIRD,OBS865482116,CC0_1_0,NA,obsr1555704,NA
URN:catalog:CLO:EBIRD:OBS859717857,Phoenicopterus roseus,PT,Frente ribeirinha do Montijo,Setúbal,PRESENT,129,e2e717bf-551a-4917-bdc9-4fa0f342c530,38.7026,-8.97698,2019-10-23T00:00:00Z,23,10,2019,EBIRD,OBS859717857,CC0_1_0,NA,obsr814219,NA
URN:catalog:CLO:EBIRD:OBS845061955,Phoenicopterus roseus,TR,"293 A Karataş Bulvarı, Adana, TR (36,969, 35,341)",Adana,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.9694,35.3413,2019-10-27T00:00:00Z,27,10,2019,EBIRD,OBS845061955,CC0_1_0,NA,obsr1003672,NA
URN:catalog:CLO:EBIRD_ESP:OBS822421897,Alcedo atthis,ES,Río Manzanares--Pte Reina Victoria-Pte Segovia-T2,Madrid Comunidad de,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,40.4198,-3.72204,2019-10-30T00:00:00Z,30,10,2019,EBIRD_ESP,OBS822421897,CC0_1_0,NA,obsr425906,NA
URN:catalog:CLO:EBIRD:OBS821736079,Phoenicopterus roseus,PT,Salinas da Fuseta (oeste),Faro,PRESENT,30,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.048,-7.75822,2019-10-06T00:00:00Z,6,10,2019,EBIRD,OBS821736079,CC0_1_0,NA,obsr679725,NA
URN:catalog:CLO:EBIRD:OBS821341716,Phoenicopterus roseus,ES,PN Bahía de Cádiz - Salina Molino de Occio y anexas,Andalucía,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,36.4767,-6.14067,2019-10-27T00:00:00Z,27,10,2019,EBIRD,OBS821341716,CC0_1_0,NA,obsr807395,NA
URN:catalog:CLO:EBIRD_ESP:OBS821339665,Phoenicopterus roseus,ES,Marismas del Odiel PNat--Salinas de Astur,Andalucía,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.2083,-7.00714,2019-10-27T00:00:00Z,27,10,2019,EBIRD_ESP,OBS821339665,CC0_1_0,NA,obsr822679,NA
URN:catalog:CLO:EBIRD_POR:OBS821042655,Alcedo atthis,PT,"Lagoas, Areias de Vilar, Braga, PT (41,548, -8,546)",Braga,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,41.5484,-8.54642,2019-10-26T00:00:00Z,26,10,2019,EBIRD_POR,OBS821042655,CC0_1_0,NA,obsr918530,NA
URN:catalog:CLO:EBIRD:OBS821858551,Alcedo atthis,PT,PN Ria Formosa--Quinta de Marim,Faro,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,37.0322,-7.81772,2019-10-28T00:00:00Z,28,10,2019,EBIRD,OBS821858551,CC0_1_0,NA,obsr564738,NA
URN:catalog:CLO:EBIRD:OBS821628736,Alcedo atthis,CZ,Praha--PP Královská obora (Stromovka),Praha hlavní mešto,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,50.1072,14.419,2019-10-02T00:00:00Z,2,10,2019,EBIRD,OBS821628736,CC0_1_0,NA,obsr295352,NA
URN:catalog:CLO:EBIRD:OBS821068161,Alcedo atthis,FR,Parc départemental de la Haute-Île,Île-de-France,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,48.8565,2.56172,2019-10-26T00:00:00Z,26,10,2019,EBIRD,OBS821068161,CC0_1_0,NA,obsr1230946,NA
URN:catalog:CLO:EBIRD:OBS819227644,Alcedo atthis,TR,Kızılırmak Deltası Kuş Cenneti,Samsun,PRESENT,6,e2e717bf-551a-4917-bdc9-4fa0f342c530,41.6723,36.0413,2019-10-20T00:00:00Z,20,10,2019,EBIRD,OBS819227644,CC0_1_0,NA,obsr430755,NA
URN:catalog:CLO:EBIRD:OBS820574188,Alcedo atthis,BG,Chelopechene Lake,Sofia-Grad,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,42.7242,23.4651,2019-10-25T00:00:00Z,25,10,2019,EBIRD,OBS820574188,CC0_1_0,NA,obsr337891,NA
URN:catalog:CLO:EBIRD:OBS818485702,Alcedo atthis,ES,Isla (Cantabria),Cantabria,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,43.4967,-3.54206,2019-10-19T00:00:00Z,19,10,2019,EBIRD,OBS818485702,CC0_1_0,NA,obsr744183,NA
