"lat","lon","streetname","country"
46.5438105,15.6490454,"Titova - Nasipna","slovenia"
46.5545507,15.6508086,"Titov most","slovenia"
45.7698647,14.1970378,"Titova cesta","slovenia"
46.3586873,15.116171,"Titov trg","slovenia"
46.4367862,14.0538143,"Cesta maršala Tita","slovenia"
46.4386563,14.0482756,"Cesta maršala Tita","slovenia"
46.1837083,13.7342977,"Trg maršala Tita","slovenia"
45.5644983,14.248474,"Trg maršala Tita","slovenia"
46.6464214,16.0375466,"Titova ulica","slovenia"
46.5128094,16.4389839,"Ulica Josipa Broza-Tita","slovenia"
46.5509043,15.6498136,"Titova cesta","slovenia"
45.548189,13.729602,"Titov trg / Piazza Tito","slovenia"
45.9190139,14.2226564,"Titova ulica","slovenia"
46.0644981,15.1706025,"Titova ulica","slovenia"
45.3272445,14.4477395,"Titov trg","croatia"
45.2255416,13.5953093,"Obala Maršala Tita","croatia"
45.3283301,13.5628156,"Ulica Josipa Broza Tita","croatia"
45.8524455,15.8086332,"Ulica Maršala Tita","croatia"
45.1487373,13.6011795,"Obala m. Tita","croatia"
45.713099,16.0670998,"Trg maršala Tita","croatia"
45.3412996,14.3109607,"Maršala Tita","croatia"
45.8343569,15.822892,"Ulica Maršala Tita","croatia"
44.5470098,15.9689663,"Ulica Maršala Tita","croatia"
45.8101074,15.970746,"Trg Maršala Tita","croatia"
45.6482739,16.1332475,"Maršala Tita","croatia"
45.0791354,14.1553615,"Obala Maršala Tita","croatia"
45.0855421,14.1227106,"Titov trg","croatia"
45.1599004,14.71898,"Maršala Tita","croatia"
45.9428689,17.3070494,"Maršala Tita","croatia"
46.0233184,15.904779,"Josipa Broza Tita","croatia"
46.5128094,16.4389839,"Ulica Josipa Broza-Tita","croatia"
44.5506447,15.9615216,"Ulica Maršala Tita","croatia"
45.4882768,15.5471242,"Trg Josipa Broza Tita","croatia"
43.7342345,15.8936133,"Poljana maršala Tita","croatia"
45.4091254,13.6576722,"Trg J. B. Tita","croatia"
45.4336215,13.5199196,"Obala Josipa Broza Tita","croatia"
46.4157124,16.4244526,"Maršala Tita","croatia"
46.4292167,16.4574862,"Maršala Tita","croatia"
45.7020138,17.1742075,"Hodaliste marsala tita","croatia"
43.8589479,18.4160038,"Maršala Tita","bosnia-herzegovina"
44.5346122,18.6830579,"Maršala Tita","bosnia-herzegovina"
43.3259221,17.822785,"Maršala Tita","bosnia-herzegovina"
44.4510976,18.6480409,"ul. Maršala Tita","bosnia-herzegovina"
44.5291832,18.5346375,"Titova","bosnia-herzegovina"
44.8150634,15.87053,"Trg maršala Tita","bosnia-herzegovina"
43.3500385,17.8125345,"Maršala Tita","bosnia-herzegovina"
44.6131401,17.98663,"Titova","bosnia-herzegovina"
45.0121191,18.3263912,"Titova","bosnia-herzegovina"
44.8827939,16.157034,"Ul Maršala Tita","bosnia-herzegovina"
44.1996388,17.9069,"Maršala Tita","bosnia-herzegovina"
44.3424763,17.2713227,"Maršala Tita","bosnia-herzegovina"
