"lon","lat","route"
18.4138758,43.8586091,"Maršala Tita"
14.2133108,45.774982,"Titov trg"
16.0384736,46.6462342,"Titova cesta"
16.458314,46.429083,"Ulica Maršala Tita"
13.9685922,45.4063002,"Ulica Titov Trg"
13.6579257,45.4089976,"Trg Josipa Broza Tita"
15.1725914,46.064892,"Titova ulica"
16.4335934,46.5094842,"Ulica Josipa Broza Tita"
15.7377372,45.916291,"Ulica Maršala Tita"
14.2484894,45.5647381,"Trg maršala Tita"
14.4483417,45.3274537,"Titov trg"
13.5665458,45.3217536,"Ulica Josipa Broza Tita"
13.5929841,45.2271008,"Obala maršala Tita"
13.6344051,45.0821867,"Trg Maršala Tita"
13.601126,45.1487583,"Obala maršala Tita"
18.495203,44.6991563,"Maršala Tita"
15.8932877,43.7345184,"Poljana Maršala Tita"
14.3242876,45.3637527,"Trg maršala Tita"
14.3040945,45.333104,"Ulica Maršala Tita"
14.2859199,45.312531,"Ulica Maršala Tita"
14.2811954,45.3043579,"Ulica Maršala Tita"
14.2760073,45.2944162,"Šetalište maršala Tita"
19.0652919,45.184941,"Ulica Maršala Tita"
14.7198886,45.1590347,"Ulica Maršala Tita"
14.1596748,45.0771447,"Ulica Maršala Tita"
14.0807829,45.0784888,"Ulica Maršala Tita"
16.0676972,45.7134079,"Trg maršala Tita"
15.5462585,45.4879414,"Trg Josipa Broza Tita"
16.3827549,46.376781,"Ulica Maršala Tita"
15.8108653,45.8493842,"Ulica Maršala Tita"
18.7992843,45.7949452,"Ulica Maršala Tita"
16.4213096,46.2082003,"Ulica Maršala Tita"
13.518096,45.4340219,"Obala Josipa Broza Tita"
16.7962028,46.3304496,"Ulica Maršala Tita"
16.7153178,46.3373702,"Ulica Maršala Tita"
16.4220017,46.4091366,"Ulica Maršala Tita"
16.1332655,45.6483182,"Ulica Maršala Tita"
19.0739909,45.1840159,"Ulica Maršala Tita"
19.0443718,45.1810193,"Ulica Maršala Tita"
16.4249049,46.4172588,"Ulica Maršala Tita"
18.6966242,42.4292696,"Obala maršala Tita"
15.8252797,45.8377047,"Ulica Maršala Tita"
18.1788649,43.9856922,"Maršala Tita"
15.859798,44.8083097,"Josipa Broza Tita"
17.9071341,44.1999464,"Maršala Tita"
15.8063705,45.1820774,"Maršala Tita"
20.301013,45.4353136,"Trg Maršala Tita"
19.634044,45.884385,"Ulica Maršala Tita"
19.5911283,45.3610593,"Maršala Tita"
19.5305164,45.3633285,"Maršala Tita"
20.1378144,45.5983608,"Maršala Tita"
19.6760815,45.0421683,"Maršala Tita"
19.6296135,45.8149301,"Maršala Tita"
19.323197,45.5546476,"Maršala Tita"
20.1365346,45.7949135,"Maršala Tita"
21.955179,43.2998981,"Maršala Tita"
20.6006606,45.6695958,"Maršala Tita"
20.507977,45.5178274,"Maršala Tita"
19.158747,44.5155309,"Maršala Tita"
21.8604624,43.4618755,"Maršala Tita"
19.4370836,45.3315658,"Maršala Tita"
19.6196804,45.4499556,"Maršala Tita"
20.0411156,46.1110585,"Maršala Tita"
21.4863074,44.8756891,"Marsala Tita Ulica"
19.5076619,45.8322224,"Marsala Tita Road"
19.9838209,45.977831,"Maršala Tita"
20.0073534,44.9248217,"Maršala Tita"
20.8598911,45.4484062,"Maršala Tita"
19.8291795,45.7619742,"Tito marsall"
20.6978953,45.5563526,"Maršala Tita"
19.5218217,45.749151,"Ulica Maršala Tita"
21.7881578,43.4114894,"Maršala Tita"
21.7783151,43.4251362,"Maršala Tita"
19.2609322,44.5809693,"Maršala Tita"
19.3843138,44.6510703,"Maršala Tita"
22.4687026,42.500105,"Maršala Tita"
22.1660086,43.3079722,"Maršala Tita"
21.832587,42.9551737,"Maršala Tita"
20.0101376,45.150849,"Maršala Tita"
21.3585421,43.7398286,"Maršala Tita"
20.0414268,46.0000014,"Maršala Tita"
20.5458587,44.8289449,"Maršala Tita"
21.8222345,43.2934525,"Maršala Tita"
21.4252335,44.0280443,"Maršala Tita"
21.4068641,44.6205541,"Maršala Tita"
20.3290274,42.9931067,"Maršala Tita"
21.6216476,43.6640396,"Maršala Tita"
20.6962225,44.8074491,"Ulica Maršala Tita"
21.8398933,43.2777513,"Maršala Tita"
21.3453522,44.6089737,"Maršala Tita"
21.5691112,43.7857782,"Maršala Tita"
21.2036662,43.7457507,"Maršala Tita"
21.5464251,43.6238734,"Maršala Tita"
21.48594,44.6477701,"Maršala Tita"
21.959812,43.3053829,"Maršala Tita"
21.828804,43.3332474,"Maršala Tita"
19.271822,42.429794,"Josipa Broza Tita"
