wto_rta_id,text,pattern,source,chapter_number,chapter_name,article_number,article_name,rta_name,date_of_signature,date_of_entry_into_force,download_url,RTA Name,Coverage,Type,Notification,Status,Date of Signature (G),Date of Signature (S),Date of Notification (G),Date of Notification (S),Date of Entry into Force (G),Date of Entry into Force (S),Inactive Date,Accession?,RTA Composition,Region,Cross-regional,All Parties WTO members?,Current signatories,Original signatories,Specific Entry/Exit dates,WTO Consideration Process (G),Consideration Date (G),WTO Consideration Process (S),Consideration Date (S),End of implementation period (G),End of implementation period (S),Remarks
7,"Notwithstanding anything contained in this Article, a Member State may grant a rebate of the customs duties in respect of goods imported into its area where such rebates are - (a) for the relief of the distress of persons in cases of famine and other national disasters; (b) under a technical assistance agreement; (c) in compliance with an obligation under any multilateral agreement to which such a Member State is a party; or (d) for such other purposes as may be agreed upon by the Member States.",famine,ToTA,PART FIVE,Trade Liberalisation,ARTICLE 20,Customs Duties On Imported Goods,Southern African Customs Union (SACU),2002-10-21,2004-07-15,https://www.sacu.int/uploads/documents/6a7ae39b41cba945b083e93a2e1a103d7cee629c.pdf,Southern African Customs Union (SACU),Goods,CU,GATT Art. XXIV,In Force,21-Oct-02,NA,25-Jun-07,NA,15-Jul-04,NA,NA,No,Plurilateral,Africa,No,Yes,Botswana; Lesotho; Namibia; South Africa; Eswatini,Botswana; Lesotho; Namibia; South Africa; Eswatini,NA,Factual Presentation issued,20-Apr-09,NA,NA,2004,NA,NA
16,"The Council shall establish the conditions for determining the comparative advantage in accordance with the circumstances of each party-state or group of party-states, taking into account, in particular, determining a comparative advantage for Arab goods related to food security or national security in general.",food security,ToTA,CHAPTER TWO,Substantive Provisions,ARTICLE VIII,NA,Pan-Arab Free Trade Area (PAFTA),1997-02-19,1998-01-01,https://rtais.wto.org/rtadocs/16/TOA/English/Pan-Arab%20Free%20Trade%20Area%20Agreement%20(1997).pdf,Pan-Arab Free Trade Area (PAFTA),Goods,FTA,GATT Art. XXIV,In Force,19-Feb-97,NA,03-Oct-06,NA,01-Jan-98,NA,NA,No,Plurilateral,Middle East; Africa,Yes,No,"Bahrain, Kingdom of; Iraq; Jordan; Kuwait, the State of; Lebanese Republic; Libya; Morocco; Oman; Qatar; Saudi Arabia, Kingdom of; Sudan; Syrian Arab Republic; United Arab Emirates; Tunisia; Egypt; Yemen","Bahrain, Kingdom of; Iraq; Jordan; Kuwait, the State of; Lebanese Republic; Libya; Morocco; Oman; Qatar; Saudi Arabia, Kingdom of; Sudan; Syrian Arab Republic; United Arab Emirates; Tunisia; Egypt; Yemen",NA,Factual Presentation to be done,NA,NA,NA,2005,NA,"The current signatories stated below are ""as notfied by the Parties"". However, please note that Algeria and the Palestinian Authority of the West Bank and the Gaza Strip are now Parties of PAFTA."
18,"It shall in particular be aimed at: - support for policies geared to developing and diversifying production, - food security, - integrated rural development, including improvement of basic services and development of ancillary economic activities, - promoting environmentally-friendly forms of agriculture and fisheries, - the evaluation and rational management of natural resources, - establishing closer relations, on a voluntary basis, between enterprises, groupings and professional organisations representing the agricultural, fisheries and agri-business sectors, - technical assistance and training, - harmonising phytosanitary and veterinary standards and checks, - cooperation between rural areas, exchange of experience and know-how on rural development, - support for privatisation, - the evaluation and rational management of fish stocks, - support for research programmes.",food security,ToTA,TITLE V,Economic Cooperation,ARTICLE 58,Agriculture And Fisheries,EU - Algeria,2002-04-22,2005-09-01,http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1398350436383&uri=CELEX:22005A1010(01),EU - Algeria,Goods,FTA,GATT Art. XXIV,In Force,22-Apr-02,NA,24-Jul-06,NA,01-Sep-05,NA,NA,No,Bilateral; One Party is an RTA,Africa; Europe,Yes,No,Algeria; European Union,Algeria; Austria; Belgium; Cyprus; Czech Republic; Denmark; Estonia; Finland; France; Germany; Greece; Hungary; Ireland; Italy; Latvia; Lithuania; Luxembourg; Malta; Netherlands; Poland; Portugal; Slovak Republic; Slovenia; Spain; Sweden; United Kingdom,United Kingdom( - 31-Dec-2020),Factual Presentation to be done,NA,NA,NA,2017,NA,"Official Journal of the European Union: L 265 of 10-Oct-2005.
The United Kingdom was a Member State of the European Union until 31 January 2020. The European Union and the United Kingdom have agreed a Withdrawal Agreement pursuant to Article 50 of the Treaty on European Union, which provides for a time-limited transition period during which European Union law, with limited exceptions as provided for in the Withdrawal Agreement will apply to and in the United Kingdom. Further details are available in the communication from the United Kingdom (WT/GC/206) dated 1 February 2020 and the note verbal from the European Union (WT/LET/1462) dated 27 January 2020 notifying WTO members that the United Kingdom is treated as a member State of the European Union for the purposes of relevant international agreements for the duration of the transition period."
20,"Para efectos de esta sección se entenderá por:animal: cualquier animal, incluyendo los animales domésticos, peces y fauna silvestre; contaminante: cualquier contaminante, incluyendo los residuos de plaguicidas, fertilizantes y sustancias químicas de uso en la agricultura, así como drogas veterinarias y otras sustancias extrañas; evaluación del riesgo: una evaluación de: a. la probabilidad de entrada, establecimiento y propagación de una enfermedad o plaga y las posibles consecuencias biológicas, agronómicas y económicas; y b. la probabilidad de efectos adversos a la vida o a la salud humana, animal o vegetal provenientes de la presencia de un aditivo, contaminante, toxina o un organismo causante de enfermedades en un producto; información científica: datos o información derivados del uso de principios y métodos científicos; medida fitosanitaria o zoosanitaria: una medida, incluyendo un criterio relativo al producto final; un método de proceso o producción directamente relacionado con el producto; una prueba, inspección, certificación o procedimiento de aprobación; un método estadístico relevante; un procedimiento de muestreo; un método de evaluación de riesgo; un requisito en materia de empaque y etiquetado directamente relacionado con la seguridad de los alimentos; y un régimen de cuarentena, tal como un requisito pertinente asociado con el transporte de animales o vegetales, o con el material necesario para su sobrevivencia durante el transporte, que una Parte adopta, mantiene o aplica para: a. proteger la vida o la salud animal o vegetal en su territorio de los riesgos provenientes de la introducción, establecimiento o propagación de una plaga o una enfermedad; b. proteger la vida o la salud humana, animal o vegetal en su territorio de riesgos resultantes de la presencia de un aditivo, contaminante, toxina o un organismo patógeno en un producto; c. proteger la vida o salud humana en su territorio de los riesgos provenientes de un organismo causante de una plaga o enfermedad transportada por un animal o un vegetal o un derivado de éstos; o d. prevenir o limitar otros daños en su territorio provenientes de la introducción, establecimiento y propagación de una plaga o enfermedad; nivel adecuado de protección fitosanitaria o zoosanitaria: el nivel de protección a la vida o la salud humana, animal o vegetal que una Parte considere adecuado; norma, directriz o recomendación internacional: una norma, directriz o recomendación: a. en relación a la seguridad en alimentos, la establecida por la Comisión del Codex Alimentarius, incluyendo aquella relacionada con descomposición de los productos, elaborada por el Comité de Pescados y Productos Pesqueros del Codex Alimentarius, aditivos alimenticios, contaminantes, prácticas en materia de higiene y métodos de análisis y muestreo; b. en relación a salud animal y zoonosis, la elaborada bajo los auspicios de la Oficina Internacional de Epizootias; c. en relación a sanidad vegetal, la elaborada bajo los auspicios del Secretariado de la Convención Internacional de Protección Fitosanitaria; y d. la establecida por, o desarrollada conforme a otras organizaciones internacionales acordadas por las Partes; plaga: cualquier plaga incluyendo los estados vivientes de cualquier insecto, ácaro, nematodo, babosa, caracol, protozoo, u otro animal invertebrado, bacterias, hongos, otras plantas parasíticas o partes reproductivas de ellas, virus, micoplasma, malezas u cualquier organismo similar o los mismos asociados con cualquiera de los anteriores o cualquier sustancias infecciosa que pueda directa o indirectamente dañar u ocasionar enfermedad a las plantas terminales o sus partes y a otros productos procesados o manufacturas; procedimiento de aprobación: cualquier procedimiento de registro, notificación o cualquier otro procedimiento administrativo obligatorio para: a. aprobar el uso de un aditivo para un fin definido o bajo condiciones definidas; o b. establecer una tolerancia para un fin definido o con apego a condiciones definidas para un contaminante; en un alimento bebida o forraje previo a permitir el uso o la comercialización de un alimento, bebida o forraje que contenga el aditivo o contaminante; procedimiento de control o inspección: cualquier procedimiento utilizado, directa o indirectamente, para determinar si se cumple una medida fitosanitaria o zoosanitaria, incluidos muestreo, pruebas, inspección, verificación, monitoreo, auditoría, evaluación de la aplicación de las medidas fitosanitarias y zoosanitarias, acreditación, registro, certificación u otros procedimientos que involucran el examen físico de un producto, del empaquetado del producto, o del equipo o de las instalaciones directamente relacionadas con la producción, comercialización o uso de un producto, pero no significa un procedimiento de aprobación; producto: animales, vegetales y sus productos y subproductos; vegetal: Cualquier vegetal, incluyendo los cultivos de interés económico, científico, medicinal, ornamental y flora silvestre; zona: un país, parte de un país, partes de varios países o todas las partes de varios países; zona de escasa prevalencia de plagas o enfermedades: una zona en la cual una plaga o enfermedad específica se presenta en niveles escasos; zona libre de plagas o enfermedades: una zona en la cual una plaga o enfermedad específica no está presente;",seguridad de los alimentos,ToTA,CAPÍTULO IV,Sector Agropecuario Y Medidas Fitosanitarias Y Zoosanitarias,ARTÍCULO 4-11,Definiciones.,Costa Rica - Mexico,1994-04-05,1995-01-01,NA,Costa Rica - Mexico,Goods & Services,FTA & EIA,GATT Art. XXIV & GATS Art. V,Inactive,05-Apr-94,05-Apr-94,17-Jul-06,17-Jul-06,01-Jan-95,01-Jan-95,01-Jul-13,No,Bilateral,Central America; North America,Yes,Yes,NA,Costa Rica; Mexico,NA,Factual Presentation issued,27-Sep-10,Factual Presentation issued,27-Sep-10,2009,2009,Please note that this Agreement has terminated as a consequence of the entry into force of the Agreement between Mexico and Central America. See document WT/REG/GEN/N/7 for further details.
20,"El Comité facilitará y propiciará: a. las actividades de las Partes de acuerdo con lo dispuesto en esta sección, particularmente lo dispuesto en los artículos 4-14 y 4-15; b. la cooperación técnica entre las Partes, incluyendo cooperación en el desarrollo, aplicación y observancia de medidas fitosanitarias y zoosanitarias; y c. el mejoramiento en la seguridad de los alimentos y de las condiciones fitosanitarias y zoosanitarias en el territorio de las Partes.",seguridad de los alimentos,ToTA,CAPÍTULO IV,Sector Agropecuario Y Medidas Fitosanitarias Y Zoosanitarias,ARTÍCULO 4-22,Comité De Medidas Fitosanitarias Y Zoosanitarias.,Costa Rica - Mexico,1994-04-05,1995-01-01,NA,Costa Rica - Mexico,Goods & Services,FTA & EIA,GATT Art. XXIV & GATS Art. V,Inactive,05-Apr-94,05-Apr-94,17-Jul-06,17-Jul-06,01-Jan-95,01-Jan-95,01-Jul-13,No,Bilateral,Central America; North America,Yes,Yes,NA,Costa Rica; Mexico,NA,Factual Presentation issued,27-Sep-10,Factual Presentation issued,27-Sep-10,2009,2009,Please note that this Agreement has terminated as a consequence of the entry into force of the Agreement between Mexico and Central America. See document WT/REG/GEN/N/7 for further details.
24,"Las Partes podrán celebrar consultas en relación con la aplicación de las disposiciones de este artículo, tendientes a la aplicación de medidas que busquen evitar efectos no deseados en la aplicación de un programa de ayuda alimentaria interna.",ayuda alimentaria,ToTA,CAPÍTULO III,Trato Nacional Y Acceso De Bienes Al Mercado,ARTÍCULO 3-14,Impuestos A La Exportación.,Mexico - Guatemala (Mexico - Northern Triangle),2000-06-29,2001-03-15,NA,Mexico - Guatemala (Mexico - Northern Triangle),Goods & Services,FTA & EIA,GATT Art. XXIV & GATS Art. V,Inactive,29-Jun-00,29-Jun-00,03-Jul-06,03-Jul-06,15-Mar-01,15-Mar-01,01-Sep-13,No,Bilateral,Central America; North America,Yes,Yes,NA,Guatemala; Mexico,NA,Factual Presentation issued,15-Sep-09,Factual Presentation issued,15-Sep-09,2012,2012,Please note that this Agreement has terminated as a consequence of the entry into force of the Agreement between Mexico and Central America. See document WT/REG/GEN/N/7 for further details.
24,"La Parte que establezca un programa de ayuda alimentaria interna, de conformidad con el párrafo 4 del Anexo 2 del Acuerdo sobre Agricultura, que forma parte del Acuerdo sobre la OMC, se asegurará, mediante los instrumentos que juzgue necesarios, que los beneficios de este programa sean recibidos sólo por los consumidores de esa Parte.",ayuda alimentaria,ToTA,CAPÍTULO IV,Sector Agropecuario,ARTÍCULO 4-07,Ayuda Alimentaria Interna.,Mexico - Guatemala (Mexico - Northern Triangle),2000-06-29,2001-03-15,NA,Mexico - Guatemala (Mexico - Northern Triangle),Goods & Services,FTA & EIA,GATT Art. XXIV & GATS Art. V,Inactive,29-Jun-00,29-Jun-00,03-Jul-06,03-Jul-06,15-Mar-01,15-Mar-01,01-Sep-13,No,Bilateral,Central America; North America,Yes,Yes,NA,Guatemala; Mexico,NA,Factual Presentation issued,15-Sep-09,Factual Presentation issued,15-Sep-09,2012,2012,Please note that this Agreement has terminated as a consequence of the entry into force of the Agreement between Mexico and Central America. See document WT/REG/GEN/N/7 for further details.
25,"Las Partes podrán celebrar consultas en relación con la aplicación de las disposiciones de este artículo, tendientes a la aplicación de medidas que busquen evitar efectos no deseados en la aplicación de un programa de ayuda alimentaria interna.",ayuda alimentaria,From source,NA,NA,NA,NA,Mexico - Honduras (Mexico - Northern Triangle),2000-06-29,2001-06-01,NA,Mexico - Honduras (Mexico - Northern Triangle),Goods & Services,FTA & EIA,GATT Art. XXIV & GATS Art. V,Inactive,29-Jun-00,29-Jun-00,10-Jul-06,20-Jun-06,01-Jun-01,01-Jun-01,01-Jan-13,No,Bilateral,Central America; North America,Yes,Yes,NA,Honduras; Mexico,NA,Factual Presentation issued,15-Sep-09,Factual Presentation issued,15-Sep-09,2012,2012,Please note that this Agreement has terminated as a consequence of the entry into force of the Agreement between Mexico and Central America. See document WT/REG/GEN/N/7 for further details.
25,Artículo 4-07 Ayuda alimentaria interna.,Ayuda alimentaria,From source,NA,NA,NA,NA,Mexico - Honduras (Mexico - Northern Triangle),2000-06-29,2001-06-01,NA,Mexico - Honduras (Mexico - Northern Triangle),Goods & Services,FTA & EIA,GATT Art. XXIV & GATS Art. V,Inactive,29-Jun-00,29-Jun-00,10-Jul-06,20-Jun-06,01-Jun-01,01-Jun-01,01-Jan-13,No,Bilateral,Central America; North America,Yes,Yes,NA,Honduras; Mexico,NA,Factual Presentation issued,15-Sep-09,Factual Presentation issued,15-Sep-09,2012,2012,Please note that this Agreement has terminated as a consequence of the entry into force of the Agreement between Mexico and Central America. See document WT/REG/GEN/N/7 for further details.
25,"La Parte que establezca un programa de ayuda alimentaria interna, de conformidad con el párrafo 4 del Anexo 2 del Acuerdo sobre Agricultura, que forma parte del Acuerdo sobre la OMC, se asegurará, mediante los instrumentos que juzgue necesarios, que los beneficios de este programa sean recibidos sólo por los consumidores de esa Parte.",ayuda alimentaria,From source,NA,NA,NA,NA,Mexico - Honduras (Mexico - Northern Triangle),2000-06-29,2001-06-01,NA,Mexico - Honduras (Mexico - Northern Triangle),Goods & Services,FTA & EIA,GATT Art. XXIV & GATS Art. V,Inactive,29-Jun-00,29-Jun-00,10-Jul-06,20-Jun-06,01-Jun-01,01-Jun-01,01-Jan-13,No,Bilateral,Central America; North America,Yes,Yes,NA,Honduras; Mexico,NA,Factual Presentation issued,15-Sep-09,Factual Presentation issued,15-Sep-09,2012,2012,Please note that this Agreement has terminated as a consequence of the entry into force of the Agreement between Mexico and Central America. See document WT/REG/GEN/N/7 for further details.
