rta_id,agreement_name,url,status,agreement_text_en,agreement_text_fr,agreement_text_es
1,Japan - Thailand,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=1,In Force,http://www.mofa.go.jp/region/asia-paci/thailand/epa0704/agreement.pdf,NA,NA
2,Egypt - Türkiye,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=2,In Force,../rtadocs/2/TOA/English/Egypt-TurkeyAgreement.doc,NA,NA
3,Chile - Japan,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=3,In Force,http://www.mofa.go.jp/region/latin/chile/joint0703/agreement.pdf,NA,https://www.subrei.gob.cl/acuerdos-comerciales/acuerdos-comerciales-vigentes/japon
4,Central European Free Trade Agreement (CEFTA) 2006,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=4,In Force,http://cefta.int/legal-documents/#1463498231136-8f9d234f-15f9,NA,NA
5,EFTA - Egypt,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=5,In Force,http://www.efta.int/trade-relations/free-trade-network/egypt,NA,NA
6,EC (27) Enlargement,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=6,In Force,http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1398341783245&uri=CELEX:12005S/TTE,http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1398341783245&uri=CELEX:12005S/TTE,http://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1398341783245&uri=CELEX:12005S/TTE
7,Southern African Customs Union (SACU),https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=7,In Force,https://www.sacu.int/uploads/documents/6a7ae39b41cba945b083e93a2e1a103d7cee629c.pdf,NA,NA
8,Chile - China,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=8,In Force,http://fta.mofcom.gov.cn/topic/enchile.shtml,NA,https://www.subrei.gob.cl/2017/06/tratado-de-libre-comercio-chile-china/
9,Trans-Pacific Strategic Economic Partnership,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=9,In Force,https://www.mfat.govt.nz/assets/Trade-agreements/P4/Full-text-of-P4-agreement.pdf,NA,https://www.subrei.gob.cl/acuerdos-comerciales/acuerdos-comerciales-vigentes/p4
10,India - Singapore,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=10,In Force,https://www.enterprisesg.gov.sg/non-financial-assistance/for-singapore-companies/free-trade-agreements/ftas/singapore-ftas/-/media/ESG/Files/Non-Financial-Assistance/For-Companies/Free-Trade-Agreements/CECA_India/Legal_Text/CECA_Legal_Text.pdf,NA,NA
11,Panama - Singapore,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=11,In Force,https://www.enterprisesg.gov.sg/-/media/esg/files/non-financial-assistance/for-companies/free-trade-agreements/PSFTA/Legal_text//PSFTA_Legal_Text.pdf,NA,https://www.mici.gob.pa/tratados-comerciales-vigentes/tlc-panama-singapur
12,EU - Albania,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=12,In Force,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2009.107.01.0165.01.ENG&toc=OJ%3AL%3A2009%3A107%3ATOC#L_2009107EN.01016601,NA,NA
